county,fips,cases,deaths
Baker,41001,656,7
Benton,41003,2344,16
Clackamas,41005,13380,178
Clatsop,41007,776,6
Columbia,41009,1265,21
Coos,41011,1491,19
Crook,41013,779,18
Curry,41015,429,6
Deschutes,41017,5952,59
Douglas,41019,2474,54
Gilliam,41021,53,1
Grant,41023,223,1
Harney,41025,273,6
Hood River,41027,1069,29
Jackson,41029,8395,112
Jefferson,41031,1958,28
Josephine,41033,2340,50
Klamath,41035,2791,55
Lake,41037,376,6
Lane,41039,10258,126
Lincoln,41041,1132,20
Linn,41043,3590,56
Malheur,41045,3351,58
Marion,41047,18468,285
Morrow,41049,1049,14
Multnomah,41051,31877,534
Polk,41053,3064,42
Sherman,41055,53,0
Tillamook,41057,414,2
Umatilla,41059,7659,82
Union,41061,1284,19
Wallowa,41063,142,4
Wasco,41065,1221,26
Washington,41067,21211,213
Wheeler,41069,22,1
Yamhill,41071,3783,64
Belknap,33001,3123,90
Carroll,33003,1711,6
Cheshire,33005,2675,26
Coos,33007,1323,36
Grafton,33009,2674,19
Hillsborough,33011,28564,582
Merrimack,33013,7444,104
Rockingham,33015,18472,208
Strafford,33017,7048,74
Sullivan,33019,1340,20
Barnstable,25001,10088,404
Berkshire,25003,4867,261
Bristol,25005,55734,1501
Dukes,25007,862,0
Essex,25009,83792,2163
Franklin,25011,1978,101
Hampden,25013,41742,1332
Hampshire,25015,7395,261
Middlesex,25017,111798,3438
Nantucket,25019,1161,2
Norfolk,25021,45485,1617
Plymouth,25023,40274,1294
Suffolk,25025,78277,1697
Worcester,25027,65363,2039
Adams,17001,8009,143
Alexander,17003,448,8
Bond,17005,1909,30
Boone,17007,5923,86
Brown,17009,663,12
Bureau,17011,3307,86
Calhoun,17013,478,5
Carroll,17015,1576,35
Cass,17017,1888,31
Champaign,17019,18209,134
Christian,17021,3305,86
Clark,17023,1686,38
Clay,17025,1429,46
Clinton,17027,5571,98
Coles,17029,5196,93
Cook,17031,474397,9914
Crawford,17033,2007,39
Cumberland,17035,1192,30
DeKalb,17037,8409,117
De Witt,17039,1279,29
Douglas,17041,2444,38
DuPage,17043,76765,1281
Edgar,17045,1543,57
Edwards,17047,523,11
Effingham,17049,4492,80
Fayette,17051,3065,55
Ford,17053,1584,53
Franklin,17055,4145,78
Fulton,17057,2852,52
Gallatin,17059,437,5
Greene,17061,1379,45
Grundy,17063,5120,67
Hamilton,17065,788,18
Hancock,17067,1671,39
Hardin,17069,344,12
Henderson,17071,498,23
Henry,17073,4329,85
Iroquois,17075,2771,62
Jackson,17077,4610,71
Jasper,17079,1109,19
Jefferson,17081,3976,116
Jersey,17083,2496,65
Jo Daviess,17085,1605,25
Johnson,17087,1347,18
Kane,17089,50746,769
Kankakee,17091,12496,197
Kendall,17093,11308,95
Knox,17095,5017,163
Lake,17097,59517,992
LaSalle,17099,10798,274
Lawrence,17101,2296,33
Lee,17103,3352,82
Livingston,17105,4198,89
Logan,17107,3310,66
McDonough,17109,2327,52
McHenry,17111,24315,291
McLean,17113,14601,193
Macon,17115,9457,195
Macoupin,17117,4350,108
Madison,17119,27987,528
Marion,17121,4262,117
Marshall,17123,838,17
Mason,17125,1286,42
Massac,17127,1271,36
Menard,17129,1036,12
Mercer,17131,1280,33
Monroe,17133,4065,83
Montgomery,17135,3495,74
Morgan,17137,3660,98
Moultrie,17139,1491,32
Ogle,17141,5020,81
Peoria,17143,16992,277
Perry,17145,3054,66
Piatt,17147,1327,20
Pike,17149,1691,53
Pope,17151,282,3
Pulaski,17153,670,6
Putnam,17155,415,4
Randolph,17157,3963,84
Richland,17159,1635,47
Rock Island,17161,13065,329
St. Clair,17163,27990,510
Saline,17165,2297,63
Sangamon,17167,16128,258
Schuyler,17169,677,17
Scott,17171,449,1
Shelby,17173,2139,37
Stark,17175,541,22
Stephenson,17177,4096,94
Tazewell,17179,13521,274
Union,17181,2185,40
Vermilion,17183,8564,133
Wabash,17185,1300,15
Warren,17187,1664,47
Washington,17189,1583,29
Wayne,17191,1674,49
White,17193,1608,35
Fairfield,09001,80243,2051
Whiteside,17195,5994,189
Hartford,09003,69982,2277
Will,17197,65037,966
Litchfield,09005,11103,278
Williamson,17199,6796,133
Middlesex,09007,10386,342
New Haven,09009,71194,1919
Winnebago,17201,28340,469
New London,09011,19123,407
Woodford,17203,3701,73
Tolland,09013,7787,164
Windham,09015,9155,179
Addison,50001,751,8
Bennington,50003,1444,9
Caledonia,50005,422,5
Chittenden,50007,4873,88
